OBJECTID,Shape_Leng,zone,borough
153,0.024737239,Marble Hill,Manhattan
154,0.227331571,,
155,0.169808473,,
156,0.14447689,,
159,0.064363233,Melrose South,Bronx
157,0.131300218,Maspeth,Queens
158,0.054809991,Meatpacking/West Village West,Manhattan
160,0.141519143,Middle Village,Queens
161,0.03580391,Midtown Center,Manhattan
162,0.035269815,Midtown East,Manhattan
163,0.034176867,Midtown North,Manhattan
164,0.035771612,Midtown South,Manhattan
170,0.045769009,Murray Hill,Manhattan
165,0.088608036,Midwood,Brooklyn
166,0.068823754,Morningside Heights,Manhattan
167,0.090815974,Morrisania/Melrose,Bronx
178,0.068252877,Ocean Parkway South,Brooklyn
168,0.114517434,Mott Haven/Port Morris,Bronx
169,0.060104658,Mount Hope,Bronx
171,0.107353876,Murray Hill-Queens,Queens
172,0.118476116,New Dorp/Midland Beach,Staten Island
173,0.060063966,North Corona,Queens
174,0.067817756,Norwood,Bronx
175,0.134897665,Oakland Gardens,Queens
179,0.071380864,Old Astoria,Queens
176,0.151995191,Oakwood,Staten Island
177,0.071580541,Ocean Hill,Brooklyn
180,0.080527767,Ozone Park,Queens
181,0.08953724,Park Slope,Brooklyn
182,0.039360637,Parkchester,Bronx
183,0.039826296,Pelham Bay,Bronx
184,0.260815683,,
185,0.086161968,Pelham Parkway,Bronx
186,0.02469639,Penn Station/Madison Sq West,Manhattan
189,0.048674331,Prospect Heights,Brooklyn
190,0.074329466,Prospect Park,Brooklyn
187,0.126868431,Port Richmond,Staten Island
188,0.097798397,Prospect-Lefferts Gardens,Brooklyn
191,0.130932638,Queens Village,Queens
192,0.11196462,Queensboro Hill,Queens
193,0.065529958,Queensbridge/Ravenswood,Queens
194,0.081793835,Randalls Island,Manhattan
196,0.083242111,Rego Park,Queens
195,0.131308244,Red Hook,Brooklyn
203,0.189937816,,
197,0.108568532,Richmond Hill,Queens
198,0.134094243,Ridgewood,Queens
199,0.077808501,Rikers Island,Bronx
212,0.067129065,Soundview/Bruckner,Bronx
213,0.159958784,Soundview/Castle Hill,Bronx
200,0.112661735,Riverdale/North Riverdale/Fieldston,Bronx
204,0.101912418,Rossville/Woodrow,Staten Island
201,0.130404118,Rockaway Park,Queens
202,0.069921571,Roosevelt Island,Manhattan
205,0.141953388,Saint Albans,Queens
206,0.212756793,Saint George/New Brighton,Staten Island
207,0.028375683,Saint Michaels Cemetery/Woodside,Queens
208,0.21472101,,
209,0.030695311,Seaport,Manhattan
210,0.114851983,,
211,0.025234508,SoHo,Manhattan
214,0.135300314,South Beach/Dongan Hills,Staten Island
215,0.103556454,South Jamaica,Queens
216,0.116797555,South Ozone Park,Queens
217,0.055390525,South Williamsburg,Brooklyn
218,0.083700828,Springfield Gardens North,Queens
219,0.15512667,Springfield Gardens South,Queens
225,0.088799207,Stuyvesant Heights,Brooklyn
220,0.106015943,Spuyten Duyvil/Kingsbridge,Bronx
224,0.044020446,Stuy Town/Peter Cooper Village,Manhattan
226,0.168957762,,
221,0.166218221,Stapleton,Staten Island
222,0.048389353,Starrett City,Brooklyn
223,0.166021925,,
227,0.082830157,Sunset Park East,Brooklyn
228,0.177685178,Sunset Park West,Brooklyn
229,0.04252529,Sutton Place/Turtle Bay North,Manhattan
230,0.03102831,Times Sq/Theatre District,Manhattan
231,0.063420117,TriBeCa/Civic Center,Manhattan
239,0.063626115,Upper West Side South,Manhattan
232,0.061470909,Two Bridges/Seward Park,Manhattan
233,0.048035918,UN/Turtle Bay South,Manhattan
234,0.036072199,Union Sq,Manhattan
235,0.076166843,University Heights/Morris Heights,Bronx
236,0.044251922,Upper East Side North,Manhattan
237,0.0422126,Upper East Side South,Manhattan
238,0.060109311,Upper West Side North,Manhattan
240,0.146069764,Van Cortlandt Park,Bronx
241,0.068764578,Van Cortlandt Village,Bronx
258,0.089013379,Woodhaven,Queens
242,0.138136446,Van Nest/Morris Park,Bronx
245,0.09598306,West Brighton,Staten Island
263,0.037016625,Yorkville West,Manhattan
243,0.0943315,Washington Heights North,Manhattan
244,0.080568604,Washington Heights South,Manhattan
253,0.0360515,Willets Point,Queens
246,0.069467194,West Chelsea/Hudson Yards,Manhattan
247,0.092967858,West Concourse,Bronx
248,0.056919117,West Farms/Bronx River,Bronx
249,0.036384344,West Village,Manhattan
257,0.058669026,Windsor Terrace,Brooklyn
250,0.079626347,Westchester Village/Unionport,Bronx
251,0.137711161,Westerleigh,Staten Island
252,0.158004374,,
254,0.085886375,Williamsbridge/Olinville,Bronx
255,0.0623842,Williamsburg (North Side),Brooklyn
256,0.067914967,Williamsburg (South Side),Brooklyn
259,0.126750305,Woodlawn/Wakefield,Bronx
260,0.133514155,Woodside,Queens
261,0.027120456,World Trade Center,Manhattan
262,0.049063623,Yorkville East,Manhattan
